timestep,ep_rew_mean,ep_len_mean,success_rate,grasp_success_rate,place_success_rate,first_grasp_step_mean,grasp_transitions_mean,max_height_mean,n_episodes
1654784,-154.00419666,700.0,0.0,0.96,0.0,36.08,14.35,0.08087883622435531,100
1662976,-150.99450563000002,700.0,0.0,0.96,0.0,36.85,14.75,0.08045376645293287,100
1671168,-155.58596779,700.0,0.0,0.96,0.0,39.24,14.56,0.07926318486536414,100
1679360,-153.96898255,700.0,0.0,0.96,0.0,39.06,14.28,0.08053675782000463,100
1687552,-151.57180512000002,700.0,0.0,0.98,0.0,39.2,14.7,0.08081463299481838,100
1695744,-147.93717890999997,700.0,0.0,0.98,0.0,38.56,14.54,0.07902813298744274,100
1703936,-148.21542476000002,700.0,0.0,0.99,0.0,39.93,15.44,0.08002813542816818,100
1712128,-143.97203191,700.0,0.0,0.99,0.0,39.21,15.55,0.07965958265831773,100
1720320,-140.08188107,700.0,0.0,0.99,0.0,37.63,15.64,0.08021805637225228,100
1728512,-137.11219362000003,700.0,0.0,0.99,0.0,36.83,16.94,0.08080207868258263,100
1736704,-131.71683863,700.0,0.0,0.99,0.0,35.4,17.01,0.0810153525216772,100
1744896,-129.11533212,700.0,0.0,0.99,0.0,35.51,17.38,0.08126403285744761,100
1753088,-130.17455401,700.0,0.0,0.98,0.0,34.84,16.85,0.07979724877412799,100
1761280,-125.41613504000001,700.0,0.0,0.98,0.0,34.51,16.91,0.07985475409100601,100
1769472,-123.83386012999998,700.0,0.0,0.98,0.0,36.74,16.57,0.08028880126896308,100
1777664,-120.74096120999997,700.0,0.0,0.97,0.0,36.37,16.46,0.07936407232057716,100
1785856,-120.13987689000001,700.0,0.0,0.98,0.0,38.65,16.5,0.07968238078654123,100
1794048,-122.92684123,700.0,0.0,0.98,0.0,38.71,15.95,0.07967181101183159,100
1802240,-117.21662702000002,700.0,0.0,0.98,0.0,38.77,15.54,0.08041813595719136,100
1810432,-113.17262205999998,700.0,0.0,0.98,0.0,38.44,15.91,0.08191850515827001,100
1818624,-116.09269836000001,700.0,0.0,0.98,0.0,38.44,15.45,0.08254437559412606,100
1826816,-113.03695795999998,700.0,0.0,0.99,0.0,40.76,15.73,0.08220883730384766,100
1835008,-108.93370585000001,700.0,0.0,0.99,0.0,38.75,15.67,0.08228796743401753,100
1843200,-110.94725334,700.0,0.0,0.99,0.0,37.86,16.39,0.08222299119650693,100
1851392,-106.34443653999999,700.0,0.0,1.0,0.0,37.21,16.27,0.08246614526603406,100
1859584,-103.510966,700.0,0.0,1.0,0.0,36.44,16.88,0.08351887926532667,100
1867776,-105.90418530999999,700.0,0.0,0.99,0.0,35.97,16.96,0.08263573742075676,100
1875968,-108.22227929,700.0,0.0,0.99,0.0,36.45,17.07,0.08232277717492945,100
1884160,-111.17313090000002,700.0,0.0,0.99,0.0,36.23,16.79,0.08145123406367465,100
1892352,-109.65513822999999,700.0,0.0,0.98,0.0,32.28,16.43,0.08140402942175141,100
1900544,-116.17730304999999,700.0,0.0,0.98,0.0,34.98,16.08,0.08177303334664822,100
1908736,-118.98440508000002,700.0,0.0,0.98,0.0,36.1,15.94,0.08160952010471947,100
1916928,-114.93083432000002,700.0,0.0,0.98,0.0,35.86,16.24,0.08193012417954536,100
1925120,-113.82650758000001,700.0,0.0,0.98,0.0,36.02,16.36,0.0813358709451025,100
1933312,-114.09546108,700.0,0.0,0.99,0.0,36.8,15.55,0.08087206964692349,100
1941504,-109.65687831000001,700.0,0.0,0.99,0.0,37.18,15.82,0.0808725450570111,100
1949696,-104.12354356000002,700.0,0.0,0.98,0.0,36.8,15.88,0.08079404063483892,100
1957888,-103.44392917,700.0,0.0,0.98,0.0,36.58,15.98,0.08070973578752333,100
1966080,-96.07059218999999,700.0,0.0,0.99,0.0,33.85,16.5,0.08012721670293611,100
1974272,-86.71951126000002,700.0,0.0,0.99,0.0,34.72,16.93,0.08129469498452985,100
1982464,-79.48786459,700.0,0.0,0.99,0.0,33.61,16.39,0.08050149766656141,100
1990656,-76.24859524,700.0,0.0,0.98,0.0,33.91,16.13,0.07970151240286995,100
1998848,-67.28781825,700.0,0.0,0.97,0.0,32.06,16.35,0.0801282683711604,100
2007040,-66.44204513999998,700.0,0.0,0.97,0.0,32.92,16.17,0.08012802634093137,100
